"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol","chr","start","end","strand","biotype","description"
"10","ENSG00000008256",3740.92435461127,1.1968352095672,0.207377584826026,5.77128531307399,7.86691421007071e-09,3.77039290226332e-07,9265,"CYTH3","7",6161776,6272644,-1,"protein_coding","cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504]"
"580","ENSG00000134253",144.951068185965,-1.98700582647008,0.235888216323362,-8.42350608877489,3.65382090872962e-17,6.51024913678942e-15,80263,"TRIM45","1",117111060,117122587,-1,"protein_coding","tripartite motif containing 45 [Source:HGNC Symbol;Acc:HGNC:19018]"
"1130","ENSG00000174697",122.323402213409,3.02923249884488,0.571737352879224,5.29829384697346,1.16889749247174e-07,4.22504833496052e-06,3952,"LEP","7",128241284,128257628,1,"protein_coding","leptin [Source:HGNC Symbol;Acc:HGNC:6553]"
"1005","ENSG00000167191",3003.50680503853,1.89288748587758,0.355462709952573,5.32513659767611,1.00877202820125e-07,3.69923786128522e-06,51704,"GPRC5B","16",19856691,19886167,-1,"protein_coding","G protein-coupled receptor, class C, group 5, member B [Source:HGNC Symbol;Acc:HGNC:13308]"
"681","ENSG00000140682",1858.07008535002,0.642427675164988,0.148356589481357,4.3302941744001,1.48910276116542e-05,0.000308093733850413,7041,"TGFB1I1","16",31471585,31477960,1,"protein_coding","transforming growth factor beta 1 induced transcript 1 [Source:HGNC Symbol;Acc:HGNC:11767]"
"1025","ENSG00000168481",19.7490345633743,4.37297515981655,0.914345417989678,4.78262927092824,1.73017048067615e-06,4.55711859649396e-05,203190,"LGI3","8",22146825,22157084,-1,"protein_coding","leucine-rich repeat LGI family, member 3 [Source:HGNC Symbol;Acc:HGNC:18711]"
"1022","ENSG00000168309",170.406386626521,4.05903333034134,0.657476953774169,6.17365111741323,6.67307069982604e-10,3.93243796688192e-08,11170,"FAM107A","3",58564117,58627610,-1,"protein_coding","family with sequence similarity 107, member A [Source:HGNC Symbol;Acc:HGNC:30827]"
"291","ENSG00000105643",318.181932822209,0.715633303378516,0.140001375670956,5.1116162248324,3.19414212537948e-07,1.02490005273034e-05,27106,"ARRDC2","19",18001132,18014102,1,"protein_coding","arrestin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25225]"
"625","ENSG00000136783",285.695977112012,0.524118043697974,0.151705938296359,3.45482879301735,0.000550642363286814,0.00645970456388753,25934,"NIPSNAP3A","9",104747688,104760122,1,"protein_coding","nipsnap homolog 3A (C. elegans) [Source:HGNC Symbol;Acc:HGNC:23619]"
"1003","ENSG00000166997",521.988944464735,-0.480165839843423,0.131014371982701,-3.6649860055569,0.000247352107950258,0.00334477470973808,245812,"CNPY4","7",100119613,100125511,1,"protein_coding","canopy FGF signaling regulator 4 [Source:HGNC Symbol;Acc:HGNC:28631]"
"641","ENSG00000137872",281.798465852368,-1.07371605487951,0.201124606539587,-5.33856136925828,9.36869955365262e-08,3.47767045931542e-06,80031,"SEMA6D","15",47184101,47774223,1,"protein_coding","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D [Source:HGNC Symbol;Acc:HGNC:16770]"
"750","ENSG00000147100",1313.38399180987,-0.443583087457374,0.0910428007263061,-4.8722478210098,1.10335644801903e-06,3.01107052386207e-05,6567,"SLC16A2","X",74421461,74533917,1,"protein_coding","solute carrier family 16, member 2 (thyroid hormone transporter) [Source:HGNC Symbol;Acc:HGNC:10923]"
"488","ENSG00000125398",572.180247871156,-1.2387403418452,0.361626199510935,-3.4254717814154,0.000613732684023301,0.00701508037700596,6662,"SOX9","17",72121020,72126420,1,"protein_coding","SRY (sex determining region Y)-box 9 [Source:HGNC Symbol;Acc:HGNC:11204]"
"958","ENSG00000164920",4636.99445582527,-0.744488179714372,0.215298657539126,-3.4579322891462,0.000544338174138811,0.00641057670865653,116039,"OSR2","8",98944403,98952104,1,"protein_coding","odd-skipped related transciption factor 2 [Source:HGNC Symbol;Acc:HGNC:15830]"
"657","ENSG00000138468",330.069933633195,-0.794200548740973,0.149459171544317,-5.31382945947536,1.07345086737777e-07,3.90803206404719e-06,57337,"SENP7","3",101324205,101513241,-1,"protein_coding","SUMO1/sentrin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:30402]"
"146","ENSG00000083223",1508.80625959994,1.14098185215882,0.200569680001066,5.68870555186987,1.28005966020816e-08,5.85694971415486e-07,79670,"ZCCHC6","9",86287733,86354454,-1,"protein_coding","zinc finger, CCHC domain containing 6 [Source:HGNC Symbol;Acc:HGNC:25817]"
"1149","ENSG00000177283",147.951649785997,2.46517936857157,0.272276249708783,9.05396402076287,1.37870265266637e-19,3.26257057416128e-17,8325,"FZD8","10",35638249,35642278,-1,"protein_coding","frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]"
"445","ENSG00000120162",56.5435318596547,2.00106852216854,0.420701166063427,4.7565081430434,1.969702973789e-06,5.13444949019526e-05,79817,"MOB3B","9",27325209,27529781,-1,"protein_coding","MOB kinase activator 3B [Source:HGNC Symbol;Acc:HGNC:23825]"
"972","ENSG00000165802",1607.02123231608,0.973405938652446,0.136303616484826,7.14145349738987,9.2349119028894e-13,9.20149610324079e-11,26012,"NSMF","9",137447570,137459334,-1,"protein_coding","NMDA receptor synaptonuclear signaling and neuronal migration factor [Source:HGNC Symbol;Acc:HGNC:29843]"
"686","ENSG00000141469",72.1302155257671,-2.93302913284857,0.691236092508882,-4.24316548952612,2.20388788856483e-05,0.00043460783948326,6563,"SLC14A1","18",45724127,45752520,1,"protein_coding","solute carrier family 14 (urea transporter), member 1 (Kidd blood group) [Source:HGNC Symbol;Acc:HGNC:10918]"
"1414","ENSG00000256223",182.185275000717,-0.769666716008969,0.163013563673796,-4.72148880536798,2.34124519525026e-06,5.98955379764614e-05,7556,"ZNF10","12",133130575,133159465,1,"protein_coding","zinc finger protein 10 [Source:HGNC Symbol;Acc:HGNC:12879]"
"1417","ENSG00000258947",525.238151708243,-1.43727645311759,0.290789736308711,-4.94266569158318,7.70615628326108e-07,2.20207050773564e-05,10381,"TUBB3","16",89921392,89938761,1,"protein_coding","tubulin, beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]"
"184","ENSG00000092847",1013.08583834465,-0.411544015711743,0.107774973617382,-3.81854898125782,0.000134238933199743,0.00203712288908829,26523,"AGO1","1",35869808,35929610,1,"protein_coding","argonaute RISC catalytic component 1 [Source:HGNC Symbol;Acc:HGNC:3262]"
"1047","ENSG00000169692",605.670963819378,0.645466936724196,0.117954423677642,5.47217235775907,4.44552147407644e-08,1.74876422662046e-06,10555,"AGPAT2","9",136673143,136687423,-1,"protein_coding","1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:325]"
"385","ENSG00000113916",1870.61940927366,0.8428549430884,0.135379456853982,6.22587032534403,4.78890045485612e-10,2.93635212100388e-08,604,"BCL6","3",187721377,187745727,-1,"protein_coding","B-cell CLL/lymphoma 6 [Source:HGNC Symbol;Acc:HGNC:1001]"
"1024","ENSG00000168461",3786.76123221124,0.856424942040569,0.174989810725745,4.89414177024748,9.8735646520349e-07,2.7527976305828e-05,11031,"RAB31","18",9708165,9862551,1,"protein_coding","RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]"
"361","ENSG00000111801",728.965665653707,-0.773200352825651,0.140846881326291,-5.48965192232001,4.02726593775078e-08,1.61500335130556e-06,10384,"BTN3A3","6",26440472,26453415,1,"protein_coding","butyrophilin, subfamily 3, member A3 [Source:HGNC Symbol;Acc:HGNC:1140]"
"1328","ENSG00000198668",4114.69671143046,0.349275275567531,0.0918748688235933,3.80164108030637,0.000143740853146537,0.00215114152263271,801,"CALM1","14",90396502,90408261,1,"protein_coding","calmodulin 1 (phosphorylase kinase, delta) [Source:HGNC Symbol;Acc:HGNC:1442]"
"1392","ENSG00000235109",81.1548258488609,-1.891965979285,0.497205301313695,-3.80520073757485,0.000141689232586495,0.00212674274283693,64288,"ZSCAN31","6",28324693,28356271,-1,"protein_coding","zinc finger and SCAN domain containing 31 [Source:HGNC Symbol;Acc:HGNC:14097]"
"1345","ENSG00000204147",92.4109406827771,-0.797391080462821,0.235653629152381,-3.38374199171447,0.000715051632512183,0.00792786015695243,653308,"ASAH2B","10",50739318,50816495,1,"protein_coding","N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2B [Source:HGNC Symbol;Acc:HGNC:23456]"
"1189","ENSG00000182199",1350.76917987759,-0.65356043058011,0.113114251878314,-5.77787873523839,7.56482970160464e-09,3.63712208986674e-07,6472,"SHMT2","12",57229327,57234935,1,"protein_coding","serine hydroxymethyltransferase 2 (mitochondrial) [Source:HGNC Symbol;Acc:HGNC:10852]"
"1397","ENSG00000241553",2036.7939347824,0.48938935061293,0.0782616864619834,6.25324309680775,4.02015625442447e-10,2.49529780628109e-08,10093,"ARPC4","3",9792495,9807726,1,"protein_coding","actin related protein 2/3 complex, subunit 4, 20kDa [Source:HGNC Symbol;Acc:HGNC:707]"
"1250","ENSG00000187134",12808.2930220562,0.99194381731154,0.286696015568098,3.45991490445366,0.000540346118350787,0.00637445727517436,1645,"AKR1C1","10",4963253,5107522,1,"protein_coding","aldo-keto reductase family 1, member C1 [Source:HGNC Symbol;Acc:HGNC:384]"
"807","ENSG00000153066",736.879893567037,0.607355843673316,0.112863114235098,5.3813493255925,7.39295699359971e-08,2.7852321807977e-06,51061,"TXNDC11","16",11679080,11742878,-1,"protein_coding","thioredoxin domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28030]"
"1176","ENSG00000180917",361.376785511499,-0.518050756717893,0.150246743339475,-3.44799990471263,0.000564754236565597,0.00657394066851618,55783,"CMTR2","16",71281389,71289715,-1,"protein_coding","cap methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:25635]"
"1326","ENSG00000198585",1314.48211854789,0.659731081367765,0.126096321679814,5.23196134969715,1.6772082488946e-07,5.78617743268991e-06,131870,"NUDT16","3",131381671,131388830,1,"protein_coding","nudix (nucleoside diphosphate linked moiety X)-type motif 16 [Source:HGNC Symbol;Acc:HGNC:26442]"
"585","ENSG00000134444",643.332528616576,0.350644042241435,0.100043448598754,3.50491758483625,0.00045674865109708,0.00558309791837391,57614,"KIAA1468","18",62187258,62307829,1,"protein_coding","KIAA1468 [Source:HGNC Symbol;Acc:HGNC:29289]"
"816","ENSG00000154127",416.606442951557,0.99885815450854,0.257611211495262,3.87738619259166,0.000105584690018969,0.00166977801841165,84959,"UBASH3B","11",122655675,122814473,1,"protein_coding","ubiquitin associated and SH3 domain containing B [Source:HGNC Symbol;Acc:HGNC:29884]"
"455","ENSG00000121879",1165.4141455027,0.564216193719497,0.15227526510814,3.70523862374375,0.000211191813752145,0.00294631982292608,5290,"PIK3CA","3",179148114,179240093,1,"protein_coding","phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]"
"619","ENSG00000136378",1709.86597764631,0.85721710667568,0.257732932687736,3.32598980555685,0.000881051509336278,0.00939023582610692,11173,"ADAMTS7","15",78759203,78811431,-1,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif, 7 [Source:HGNC Symbol;Acc:HGNC:223]"
"1007","ENSG00000167460",50683.2263320668,0.752571781871412,0.131598129477105,5.7187118453864,1.0733463830051e-08,5.00179414480378e-07,7171,"TPM4","19",16067021,16103005,1,"protein_coding","tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]"
"1122","ENSG00000173914",321.912919427587,-0.614509071511556,0.142368682775232,-4.31632195741901,1.5865053266983e-05,0.000326019310350688,83759,"RBM4B","11",66664998,66677921,-1,"protein_coding","RNA binding motif protein 4B [Source:HGNC Symbol;Acc:HGNC:28842]"
"1055","ENSG00000169908",964.786100307827,1.18608652539152,0.216575431879289,5.47655158805176,4.33694377788823e-08,1.71496118841037e-06,4071,"TM4SF1","3",149369022,149377865,-1,"protein_coding","transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]"
"1259","ENSG00000188176",57.0726191706306,-3.05859394424344,0.644923597793231,-4.74256788666005,2.11026078555799e-06,5.47258554747873e-05,342527,"SMTNL2","17",4583999,4608319,1,"protein_coding","smoothelin-like 2 [Source:HGNC Symbol;Acc:HGNC:24764]"
"372","ENSG00000112837",2671.19815511368,-1.63666384276225,0.177536186445741,-9.21876196356425,3.0055018421883e-20,7.88223059508466e-18,9096,"TBX18","6",84687351,84764519,-1,"protein_coding","T-box 18 [Source:HGNC Symbol;Acc:HGNC:11595]"
"1140","ENSG00000176148",490.633692441163,0.439504658460845,0.110118317018868,3.99120391919485,6.57387238495316e-05,0.0011087004150347,55346,"TCP11L1","11",33039417,33105943,1,"protein_coding","t-complex 11, testis-specific-like 1 [Source:HGNC Symbol;Acc:HGNC:25655]"
"616","ENSG00000136235",26550.4558211881,-0.399312450183487,0.081632712678005,-4.89157394240406,1.00032799384467e-06,2.77471931625961e-05,10457,"GPNMB","7",23235967,23275108,1,"protein_coding","glycoprotein (transmembrane) nmb [Source:HGNC Symbol;Acc:HGNC:4462]"
"118","ENSG00000075213",732.800793006738,-1.27097063591189,0.228891201548633,-5.55272822770271,2.81245156675236e-08,1.17340437957203e-06,10371,"SEMA3A","7",83955777,84492724,-1,"protein_coding","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A [Source:HGNC Symbol;Acc:HGNC:10723]"
"523","ENSG00000128923",1481.50742728071,1.05791506237314,0.116157838829879,9.10756495670106,8.42516487865079e-20,2.05805035624462e-17,54629,"FAM63B","15",58771192,58861900,1,"protein_coding","family with sequence similarity 63, member B [Source:HGNC Symbol;Acc:HGNC:26954]"
"698","ENSG00000143106",1049.29398745129,0.440030360808127,0.124411193053416,3.53690331238284,0.000404847847219446,0.00505475733399712,5686,"PSMA5","1",109399031,109426427,-1,"protein_coding","proteasome (prosome, macropain) subunit, alpha type, 5 [Source:HGNC Symbol;Acc:HGNC:9534]"
"130","ENSG00000078053",359.085089052368,1.08046130592829,0.195032555823689,5.53990230690017,3.02640428362104e-08,1.25231947747105e-06,273,"AMPH","7",38383704,38631567,-1,"protein_coding","amphiphysin [Source:HGNC Symbol;Acc:HGNC:471]"
"188","ENSG00000093217",76.9275912350377,-1.1428093357372,0.340209128775657,-3.35913777460922,0.000781860766022422,0.00851278310669273,9942,"XYLB","3",38346760,38421348,1,"protein_coding","xylulokinase homolog (H. influenzae) [Source:HGNC Symbol;Acc:HGNC:12839]"
"1310","ENSG00000197461",70.6694806765354,0.917821791860112,0.271368963601235,3.3821914624283,0.000719100063444554,0.00795527425921678,5154,"PDGFA","7",497258,520296,-1,"protein_coding","platelet-derived growth factor alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:8799]"
"541","ENSG00000131236",7167.07900434856,0.545312221534382,0.109082445777025,4.99908319482543,5.76035465396492e-07,1.6972873780992e-05,10487,"CAP1","1",40040233,40072649,1,"protein_coding","CAP, adenylate cyclase-associated protein 1 (yeast) [Source:HGNC Symbol;Acc:HGNC:20040]"
"223","ENSG00000100647",850.433231758249,0.678017343666126,0.166096205442888,4.08207605862049,4.46351832532005e-05,0.000785768462699379,9766,"SUSD6","14",69611596,69715142,1,"protein_coding","sushi domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19956]"
"676","ENSG00000140443",4610.95454647559,0.527200205270253,0.140721858574564,3.74639882254615,0.000179391308911225,0.00258013425779726,3480,"IGF1R","15",98648971,98964530,1,"protein_coding","insulin-like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]"
"337","ENSG00000109680",606.371079318689,-0.871250962657982,0.259709513887167,-3.35471330879509,0.000794472747931331,0.0086191187445702,55296,"TBC1D19","4",26576437,26755351,1,"protein_coding","TBC1 domain family, member 19 [Source:HGNC Symbol;Acc:HGNC:25624]"
"991","ENSG00000166579",1396.71328445403,0.391370277468974,0.112100854408336,3.49123367109565,0.000480795549074777,0.00581325921166643,81565,"NDEL1","17",8413131,8490411,1,"protein_coding","nudE neurodevelopment protein 1-like 1 [Source:HGNC Symbol;Acc:HGNC:17620]"
"391","ENSG00000114650",1581.25671268365,0.320033950000143,0.0702045635607117,4.5585918317601,5.14977461622685e-06,0.000121107665470117,22937,"SCAP","3",47413694,47477126,-1,"protein_coding","SREBF chaperone [Source:HGNC Symbol;Acc:HGNC:30634]"
"462","ENSG00000122863",1057.12874335915,0.857017236835097,0.229398082784387,3.73593896876904,0.000187016026604478,0.00266449456531027,9469,"CHST3","10",71964365,72013564,1,"protein_coding","carbohydrate (chondroitin 6) sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:1971]"
"924","ENSG00000163554",15.8616542910259,-3.2737069045685,0.825576313917468,-3.96535953052521,7.32854004196889e-05,0.00121434068857351,6708,"SPTA1","1",158610706,158686698,-1,"protein_coding","spectrin, alpha, erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11272]"
"360","ENSG00000111728",205.085915430282,-1.38394507160846,0.229076803147588,-6.04140206512668,1.52780731682808e-09,8.17619852062235e-08,6489,"ST8SIA1","12",22063773,22437041,-1,"protein_coding","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10869]"
"992","ENSG00000166592",106.180971782242,-1.46414426021964,0.341460291434165,-4.28789026703544,1.8037815804807e-05,0.000364243627151737,6236,"RRAD","16",66921679,66925644,-1,"protein_coding","Ras-related associated with diabetes [Source:HGNC Symbol;Acc:HGNC:10446]"
"994","ENSG00000166741",7542.25286980186,2.21959060429975,0.166736622597728,13.3119561240891,1.97248911110556e-40,2.48944563230781e-37,4837,"NNMT","11",114257787,114313285,1,"protein_coding","nicotinamide N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:7861]"
"667","ENSG00000139289",2896.74376144142,-1.07092653489261,0.112143238439951,-9.54963089875498,1.30159181375515e-21,4.19417191900462e-19,22822,"PHLDA1","12",76025447,76033932,-1,"protein_coding","pleckstrin homology-like domain, family A, member 1 [Source:HGNC Symbol;Acc:HGNC:8933]"
"9","ENSG00000008130",1713.6319552007,0.830141241274029,0.151381734722481,5.48376092264948,4.16377397562036e-08,1.65512747666064e-06,65220,"NADK","1",1751232,1780457,-1,"protein_coding","NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]"
"305","ENSG00000106484",941.131965022028,-1.97514700067986,0.392192484050755,-5.03616739484545,4.74945255697663e-07,1.45314058536184e-05,4232,"MEST","7",130486171,130506296,1,"protein_coding","mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028]"
"1051","ENSG00000169750",73.100918951143,1.3684535716665,0.242678215449658,5.63896338668427,1.71076903314252e-08,7.64294896959985e-07,5881,"RAC3","17",82031624,82034204,1,"protein_coding","ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3) [Source:HGNC Symbol;Acc:HGNC:9803]"
"1043","ENSG00000169271",86.0423130306546,2.44561951233686,0.486997893628777,5.02182770055486,5.11820876943665e-07,1.54775218779554e-05,8988,"HSPB3","5",54455601,54456384,1,"protein_coding","heat shock 27kDa protein 3 [Source:HGNC Symbol;Acc:HGNC:5248]"
"1182","ENSG00000181472",571.952946111848,-0.577065928277092,0.167132416165029,-3.45274687890164,0.000554909437560573,0.00648965515973349,57621,"ZBTB2","6",151364117,151391548,-1,"protein_coding","zinc finger and BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20868]"
"52","ENSG00000049759",1363.72905043685,-1.09959683839845,0.200991749606601,-5.47085559755903,4.47868110512266e-08,1.75724417971717e-06,23327,"NEDD4L","18",58044367,58401540,1,"protein_coding","neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728]"
"586","ENSG00000134531",5891.11057831786,0.913061065332451,0.163359284773361,5.58928172707906,2.28010771354145e-08,9.81029298908673e-07,2012,"EMP1","12",13196716,13219939,1,"protein_coding","epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]"
"544","ENSG00000131370",1431.48422952866,-0.857798341632767,0.207882354926654,-4.12636436572705,3.68543197893178e-05,0.000670863789914926,9467,"SH3BP5","3",15254853,15341368,-1,"protein_coding","SH3-domain binding protein 5 (BTK-associated) [Source:HGNC Symbol;Acc:HGNC:10827]"
"720","ENSG00000144369",1283.77979687001,-1.30900399157049,0.117164382300989,-11.1723713799619,5.56743456443476e-29,3.83267256719838e-26,165215,"FAM171B","2",186693971,186765965,1,"protein_coding","family with sequence similarity 171, member B [Source:HGNC Symbol;Acc:HGNC:29412]"
"96","ENSG00000070404",1824.48223262583,1.72902322399425,0.31752137683451,5.44537580817874,5.16961221106676e-08,2.00753274196426e-06,10272,"FSTL3","19",676365,683399,1,"protein_coding","follistatin-like 3 (secreted glycoprotein) [Source:HGNC Symbol;Acc:HGNC:3973]"
"1116","ENSG00000173545",528.256455378007,0.360342703808026,0.0988925784859591,3.6437790309936,0.000268664096194339,0.00357864356804157,90441,"ZNF622","5",16451519,16465792,-1,"protein_coding","zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958]"
"932","ENSG00000163884",574.142864572114,4.53724572167687,0.431709244386025,10.5099572934319,7.77287389346702e-26,3.56727803383509e-23,28999,"KLF15","3",126342635,126357442,-1,"protein_coding","Kruppel-like factor 15 [Source:HGNC Symbol;Acc:HGNC:14536]"
"1163","ENSG00000178662",38.9595681210216,-1.27127297591763,0.324215471537236,-3.92107437035628,8.81550482624508e-05,0.00143405822334567,80034,"CSRNP3","2",165469647,165689407,1,"protein_coding","cysteine-serine-rich nuclear protein 3 [Source:HGNC Symbol;Acc:HGNC:30729]"
"1120","ENSG00000173757",1550.0070829707,0.471708395221644,0.0866559879065265,5.4434598995105,5.2255501531287e-08,2.02406539818758e-06,6777,"STAT5B","17",42199168,42276707,-1,"protein_coding","signal transducer and activator of transcription 5B [Source:HGNC Symbol;Acc:HGNC:11367]"
"67","ENSG00000062716",3141.67450479577,0.482884690209375,0.0888871865518269,5.43255680533687,5.55522607181104e-08,2.12997212297666e-06,81671,"VMP1","17",59707192,59842255,1,"protein_coding","vacuole membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29559]"
"1123","ENSG00000173915",651.251876321884,0.364162323927657,0.105627747191777,3.44760097237032,0.000565588952860785,0.00657394066851618,84833,"USMG5","10",103389041,103396466,-1,"protein_coding","up-regulated during skeletal muscle growth 5 homolog (mouse) [Source:HGNC Symbol;Acc:HGNC:30889]"
"1389","ENSG00000230018",38.9460782711452,2.43020917223148,0.535404063474271,4.53901891678165,5.65165663083849e-06,0.000130678381181754,NA,"RP11-481H12.1","10",113482616,113483113,1,"processed_pseudogene",""
"15","ENSG00000011198",1155.15273140287,1.09691084974369,0.202522928975733,5.41623042532202,6.08686481837993e-08,2.31622029332573e-06,51099,"ABHD5","3",43690113,43734371,1,"protein_coding","abhydrolase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21396]"
"113","ENSG00000073792",2530.97391782678,0.897558043614673,0.165752479247047,5.41505048788382,6.12714145948398e-08,2.32570319307982e-06,10644,"IGF2BP2","3",185643739,185825056,-1,"protein_coding","insulin-like growth factor 2 mRNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:28867]"
"552","ENSG00000131899",1247.87455810892,-0.434471858457944,0.131105249257675,-3.31391657403458,0.000919989520865589,0.00972991710440597,3996,"LLGL1","17",18225587,18244875,1,"protein_coding","lethal giant larvae homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:6628]"
"1063","ENSG00000170584",508.558295922917,1.0050297766886,0.217438556791793,4.62213230034889,3.79815645226929e-06,9.22627790079004e-05,134492,"NUDCD2","5",163446526,163460140,-1,"protein_coding","NudC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30535]"
"805","ENSG00000152926",423.28815919148,-0.574105741725716,0.173641704828076,-3.30626644269672,0.000945481353829609,0.00997586446540555,51351,"ZNF117","7",64971776,65006684,-1,"protein_coding","zinc finger protein 117 [Source:HGNC Symbol;Acc:HGNC:12897]"
"307","ENSG00000106615",2235.48854826141,0.999193893075132,0.149044924151037,6.70397800372311,2.02820806549702e-11,1.59985474749752e-09,6009,"RHEB","7",151466012,151520120,-1,"protein_coding","Ras homolog enriched in brain [Source:HGNC Symbol;Acc:HGNC:10011]"
"161","ENSG00000087116",4504.92532616987,0.671184347475632,0.125073265693273,5.36632943703277,8.0355116005537e-08,3.01232235619767e-06,9509,"ADAMTS2","5",179110851,179345430,-1,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif, 2 [Source:HGNC Symbol;Acc:HGNC:218]"
"330","ENSG00000108861",2140.53602424678,0.50410913624751,0.146193434567431,3.44823375782306,0.000564265461548844,0.00657394066851618,1845,"DUSP3","17",43766121,43778988,-1,"protein_coding","dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069]"
"53","ENSG00000051108",2297.88081894568,0.689088103144281,0.128874275262734,5.34697946304215,8.94341593977388e-08,3.3361584829526e-06,9709,"HERPUD1","16",56932048,56944863,1,"protein_coding","homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 [Source:HGNC Symbol;Acc:HGNC:13744]"
"428","ENSG00000117600",39.3685220739571,-2.02434171192858,0.608446408471248,-3.32706658095795,0.000877654007737744,0.00936720926510792,9890,"LPPR4","1",99263953,99309590,1,"protein_coding","Lipid phosphate phosphatase-related protein type 4  [Source:UniProtKB/Swiss-Prot;Acc:Q7Z2D5]"
"640","ENSG00000137821",269.541909666162,-0.612426710242957,0.176441168968538,-3.47099667171306,0.000518530426550582,0.00618357740953431,54839,"LRRC49","15",70853239,71053657,1,"protein_coding","leucine rich repeat containing 49 [Source:HGNC Symbol;Acc:HGNC:25965]"
"162","ENSG00000087266",437.048022586953,-0.929443164200609,0.174142090579391,-5.3372688998291,9.43570520657322e-08,3.48684064072132e-06,6452,"SH3BP2","4",2793023,2841098,1,"protein_coding","SH3-domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:10825]"
"650","ENSG00000138135",38.4951758922253,-1.58320070540261,0.408541817108336,-3.87524762240627,0.000106516326747536,0.00168215825713393,9023,"CH25H","10",89205629,89207314,-1,"protein_coding","cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]"
"380","ENSG00000113597",281.56433324799,-0.491439467516485,0.141702457467731,-3.4681082904183,0.000524136030448198,0.00623811420834524,80006,"TRAPPC13","5",65624716,65666233,1,"protein_coding","trafficking protein particle complex 13 [Source:HGNC Symbol;Acc:HGNC:25828]"
"997","ENSG00000166912",662.42366096916,0.759952974645094,0.204412297461771,3.71774586989914,0.000201008321403132,0.00282399909800596,54893,"MTMR10","15",30938941,30991607,-1,"protein_coding","myotubularin related protein 10 [Source:HGNC Symbol;Acc:HGNC:25999]"
"1001","ENSG00000166979",131.814404155007,1.38946373011015,0.260764998930055,5.32841345967158,9.90743837215597e-08,3.64194548898792e-06,59271,"EVA1C","21",32412006,32515397,1,"protein_coding","eva-1 homolog C (C. elegans) [Source:HGNC Symbol;Acc:HGNC:13239]"
"654","ENSG00000138356",4417.1290161387,1.44445213327411,0.281013228715314,5.1401570661908,2.74508904480498e-07,8.94072550184332e-06,316,"AOX1","2",200585868,200677064,1,"protein_coding","aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]"
"656","ENSG00000138385",2450.04671608432,0.882574326121598,0.194906985958094,4.52818210585513,5.94933000979466e-06,0.000135492636087729,6741,"SSB","2",169791933,169812064,1,"protein_coding","Sjogren syndrome antigen B (autoantigen La) [Source:HGNC Symbol;Acc:HGNC:11316]"
